,,,,,,
STEPS,5,,,,,
cpus,t1,t2,t3,t4,mean,stdev
1,16.081,15.807,15.191,15.359,15.6095,0.4079260554
2,12.616,12.211,12.145,11.607,12.14475,0.4145844305
3,11.199,11.176,10.778,11.144,11.07425,0.1987835925
4,9.729,10.249,10.997,10.851,10.4565,0.583118913
5,11.054,9.934,11.3,10.297,10.64625,0.6384681537
6,11.904,12.089,11.389,12.055,11.85925,0.3236462833
7,11.026,11.216,11.297,11.248,11.19675,0.1186068435
8,11.552,10.627,10.453,10.236,10.717,0.5791896638
